"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"19164","E",2,"M",1,1,17,2,"B","E","E",480.9,542.5,578.6,582.2,440,524.84,10
"19173","D",3,"F",1,1,18,2,"B","H","F",465.3,525.9,584.3,614,540,545.9,10
"19175","D",3,"F",1,1,17,2,"B","F","G",525.3,544.6,562.8,530.5,800,592.64,11
"19189","I",1,"F",2,1,48,1,"B","E","E",536.7,604.3,611.2,698.5,680,626.14,12
"19201","J",3,"F",1,3,17,2,"B","F","E",478.9,562.3,591.5,597.9,760,598.12,11
"19219","E",1,"F",1,1,22,1,"B","D","B",591,619.7,596.9,783.4,920,702.2,14
"19244","E",2,"M",3,3,19,2,"B","F","E",478.5,593.8,589,540.1,760,592.28,11
"19284","D",1,"F",1,1,29,1,"B","F","D",487.9,518.8,565.4,529.3,620,544.28,10
"19286","D",1,"F",1,3,19,1,"B","D","C",445,502.2,526.9,485.2,560,503.86,10
"19296","C",2,"F",1,3,17,2,"B","F","E",542.7,406.4,498.3,444.8,700,518.44,10
"19302","B",1,"M",1,3,25,1,"A","C","E",495.8,627.3,564.6,660.8,480,565.7,11
"19313","P",3,"M",1,1,18,2,"B","G","F",561.2,621.3,578.3,627.2,580,593.6,11
"19330","G",2,"F",1,1,17,2,"B","B","D",494.4,511.4,559.1,534.1,400,499.8,9
"19348","E",1,"F",1,1,19,1,"B","C","C",477.7,538.6,551,486.3,680,546.72,10
"19361","B",1,"F",1,1,19,1,"B","F","F",482.9,639.9,609.3,633.7,580,589.16,11
"19370","D",2,"F",1,3,19,2,"A","B","C",346.4,433.3,404.8,390.3,540,422.96,8
"19392","J",1,"F",1,1,20,1,"B","E","F",460.7,511.6,521.2,495.3,580,513.76,10
"19409","Q",1,"M",1,1,17,3,"B","G","G",580.1,628,631.5,689.6,640,633.84,12
"19416","C",1,"M",1,1,22,1,"B","E","F",460,557.7,532.6,589.3,560,539.92,10
"19458","L",1,"F",1,1,19,1,"B","F","G",565.3,603.9,609.7,539.7,800,623.72,12
"19459","E",1,"M",1,5,26,1,"B","E","D",550.8,523.1,514.7,580.2,580,549.76,10
"19464","L",3,"F",1,3,18,2,"B","F","F",575.4,597.5,611.3,660,940,676.84,13
"19504","C",2,"M",1,3,22,2,"B","E","E",470.7,476.9,509.4,389.9,580,485.38,9
"19507","F",2,"M",1,1,18,2,"B","E","E",499.7,473.7,553.4,578,500,520.96,10
"19530","D",1,"M",1,3,24,1,"A","B","B",554.3,432,468.3,386,960,560.12,11
"19533","Q",1,"F",1,1,16,3,"B","G","F",549.4,615.5,544.1,655.1,580,588.82,11
"19538","C",2,"F",1,1,18,2,"B","C","B",357.1,469.5,461.1,370.1,500,431.56,8
"19539","C",3,"M",1,1,17,2,"A","E","F",609.8,541.1,601.6,660,620,606.5,12
"19552","D",1,"M",1,2,24,1,"B","F","E",468.1,427.1,549,510.6,660,522.96,10
"19569","E",1,"M",2,1,27,1,"B","E","E",529.6,546.6,589.3,693.9,640,599.88,11
"19572","C",1,"M",1,1,21,1,"B","C","D",542.6,553.4,578.8,422.2,420,503.4,10
"19580","G",1,"F",1,1,16,3,"B","G","F",588.7,619.5,642.1,713.6,620,636.78,12
"19581","N",1,"M",1,1,20,1,"B","C","E",615.1,647.7,580.6,777,900,704.08,14
"19609","G",2,"F",1,1,18,2,"B","C","E",399.4,475.1,510.4,405.7,520,462.12,9
"19610","K",1,"F",1,2,19,1,"B","G","G",443.9,506.4,505.9,494.9,620,514.22,10
"19628","B",1,"M",1,3,21,1,"B","H","H",404,495.8,540.6,414.2,800,530.92,10
"19631","G",2,"F",1,1,18,2,"B","H","G",352.2,447.2,501.8,471.1,420,438.46,8
"19652","I",3,"M",1,1,17,2,"B","F","G",615.5,630.9,615.6,655,660,635.4,12
"19690","E",1,"F",1,1,21,1,"B","C","D",567.5,581.9,594.6,475.2,580,559.84,11
"19699","B",1,"F",1,2,22,1,"B","C","E",410.4,374.8,495.1,498.7,0,355.8,7
"19713","E",1,"M",0,1,19,1,"B","E","E",505.6,592.2,568,596.5,560,564.46,11
"19715","E",1,"M",1,1,19,1,"B","C","B",471.7,488.5,540.9,576.2,860,587.46,11
"19732","N",3,"F",1,1,17,2,"B","F","F",565.3,606.5,561.8,671.8,760,633.08,12
"19743","B",1,"F",1,2,26,1,"A","B","H",355.3,474.3,485.7,440.5,460,443.16,8
"19759","C",1,"F",1,1,23,1,"B","F","E",569.1,623.8,624.3,617.9,520,591.02,11
"19767","C",1,"F",1,1,18,1,"B","D","C",603.4,638.6,615.9,630.9,900,677.76,13
"19775","N",3,"F",1,1,17,2,"B","F","G",587.1,630.2,638.7,699,820,675,13
"19780","P",1,"F",1,1,18,1,"B","F","D",597.6,645.2,649.8,573.5,900,673.22,13
"19784","F",2,"F",1,1,18,2,"B","B","E",518.8,571.5,534,597.9,700,584.44,11
"19795","Q",3,"F",1,1,17,2,"B","F","E",575.3,569.9,581.2,557.9,620,580.86,11
"19798","B",1,"M",1,3,23,1,"A","H","E",377.8,377.3,446.5,471,280,390.52,7
"19816","P",1,"M",1,3,18,3,"B","F","G",625.3,681.9,610.5,825.7,740,696.68,13
"19821","G",1,"M",1,1,24,1,"B","E","F",550.9,678,609.3,713.4,640,638.32,12
"19844","B",1,"M",1,5,20,1,"B","B","E",491.1,443.1,516.3,617.4,560,525.58,10
"19871","B",2,"F",1,2,18,2,"B","E","E",547.4,466,530.6,528.1,480,510.42,10
"19877","G",3,"F",1,4,18,2,"B","D","E",636.8,653.5,634.3,729.3,680,666.78,13
"19880","F",2,"M",0,0,18,2,"B","E","H",456.3,430.7,505.2,559.6,460,482.36,9
"19893","C",3,"F",1,1,18,2,"B","E","E",500.4,524.9,499.8,483.6,620,525.74,10
"19909","I",2,"F",1,1,19,2,"B","D","D",382,486.8,523.5,621.4,440,490.74,9
"19915","D",1,"M",1,1,19,3,"B","E","D",403.3,471.4,499.6,446.7,420,448.2,8
"19934","E",1,"F",1,1,20,1,"B","B","C",497.1,537.4,564.6,553.2,560,542.46,10
"19936","G",1,"F",2,1,40,1,"B","C","C",331.6,498.6,526.1,468.2,500,464.9,9
"19960","D",2,"F",1,1,18,2,"B","E","D",424.2,553.6,520.5,507.6,800,561.18,11
"19961","I",1,"M",1,1,24,1,"B","E","E",501.1,680.4,607,683.1,760,646.32,12
"19964","A",1,"M",1,1,27,1,"A","G","E",635.2,636.7,619.3,675.7,800,673.38,13
"19967","C",2,"F",1,1,18,2,"A","F","F",352.9,379.2,491.1,395.5,480,419.74,8
"19970","E",1,"F",1,1,26,1,"B","B","B",520.2,514.7,565.6,502.8,520,524.66,10
"19980","F",1,"F",1,1,20,1,"B","F","E",543.6,536.8,570.7,475,580,541.22,10
"19982","G",1,"F",1,1,21,1,"B","E","G",629.4,644.2,595.5,705.6,560,626.94,12
"19985","B",1,"F",1,1,24,1,"B","E","E",517.4,514,558.5,500.1,300,478,9
"19986","C",1,"M",1,2,27,1,"B","H","H",564.5,553.4,594.1,655.7,660,605.54,12
"19988","Q",1,"M",3,1,18,1,"B","H","E",565.6,504.6,577.1,753.4,620,604.14,12
"19995","B",2,"M",1,2,19,2,"B","H","B",422.2,455.4,516,460.1,580,486.74,9
"20000","J",3,"M",1,1,18,2,"B","D","D",392.7,384.5,393,513.5,520,440.74,8
"20022","K",2,"M",1,1,18,2,"B","E","E",445.7,508.5,496.1,475,600,505.06,10
"20023","K",3,"F",1,1,18,2,"B","F","F",576.7,617,615,505.9,740,610.92,12
"20025","H",3,"F",1,0,17,2,"B","E","F",495.8,583.8,578.5,679.3,560,579.48,11
"20027","F",2,"M",1,1,17,2,"B","F","E",501.5,485.8,540.7,435.4,480,488.68,9
"20033","C",2,"M",1,1,18,2,"B","D","D",573.4,562,564,747.1,720,633.3,12
"20064","E",2,"F",1,1,19,2,"B","C","C",405.1,521.2,525.8,447.7,600,499.96,9
"20068","P",3,"F",1,1,17,2,"B","D","F",624.7,538.5,616.4,769.4,780,665.8,13
"20081","G",2,"F",1,3,18,2,"B","E","E",371.4,441,466.9,473.4,480,446.54,8
"20104","I",1,"F",1,1,21,1,"B","E","C",485.4,581.1,563.9,467.1,640,547.5,10
"20152","I",1,"F",1,1,25,1,"B","A","C",494.8,626.8,549.3,556.3,480,541.44,10
"20167","D",1,"M",1,1,21,1,"B","B","C",399.4,433.3,533.7,424.8,580,474.24,9
