"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"62584","Q",1,"F",1,1,16,3,"B","E","E",507.2,531.7,545.8,640.4,560,557.02,11
"62589","D",1,"M",1,0,16,3,"B","F","G",517.9,512.9,547.9,653.1,740,594.36,11
"62597","C",1,"F",1,1,39,1,"B","E","E",458.7,530,540,575.5,580,536.84,10
"62601","N",1,"M",1,1,19,1,"B","G","G",583.6,672.6,609.9,786.4,820,694.5,13
"62606","N",1,"F",1,1,25,1,"B","E","F",739.7,669.8,653.6,844.9,900,761.6,15
"62607","O",1,"M",0,1,17,3,"B","G","F",554.2,632.8,610.2,719.9,700,643.42,12
"62617","J",1,"M",0,1,23,1,"B","H","F",615.7,749.8,652.4,761.7,780,711.92,14
"62625","H",1,"F",1,1,28,1,"B","G","E",527,632.6,599.1,668.9,520,589.52,11
"62646","O",2,"F",1,0,18,2,"B","H","F",414.7,422.4,433.3,702.4,620,518.56,10
"62661","D",1,"F",1,3,22,1,"B","C","C",563.6,564.1,532.9,441.4,620,544.4,10
"62668","H",1,"M",1,1,15,3,"B","E","F",518.3,550.2,568.5,682.2,620,587.84,11
"62682","E",3,"F",1,2,18,2,"B","E","E",396.7,350.7,407.8,499.6,660,462.96,9
"62691","K",1,"M",1,3,20,1,"B","E","E",363.9,575.2,521.4,606.5,480,509.4,10
"62693","N",3,"F",1,3,18,2,"B","G","F",643.3,623,599.9,740.1,880,697.26,13
"62696","C",1,"F",1,2,20,1,"B","C","C",408.4,462.5,483.2,400.6,640,478.94,9
"62697","K",1,"M",1,1,21,1,"B","F","F",606.5,634.4,592.7,668.6,840,668.44,13
"62702","F",1,"M",1,1,33,1,"B","D","C",555.4,595.2,571.3,427.1,540,537.8,10
"62714","J",3,"M",1,1,17,2,"B","F","F",600.1,637.3,604.1,735.4,680,651.38,13
"62717","C",1,"F",1,1,16,3,"B","B","C",426.4,429.3,492.4,503.6,360,442.34,8
"62736","I",3,"M",1,1,19,2,"B","E","E",566.7,595.2,546,613.5,640,592.28,11
"62745","D",1,"F",1,1,21,1,"B","B","E",411.5,538.3,513.8,432.3,480,475.18,9
"62748","N",3,"F",1,1,18,2,"B","G","F",543.4,613.4,578.8,592.1,760,617.54,12
"62750","G",1,"F",1,1,18,1,"B","F","E",510.2,471.3,579.7,516.2,620,539.48,10
"62751","Q",3,"M",1,1,18,2,"B","G","D",534.8,566.4,536,667.4,560,572.92,11
"62756","Q",1,"F",1,1,19,1,"B","F","G",622.4,627.1,593.4,661.1,860,672.8,13
"62757","K",2,"M",1,3,17,2,"B","G","E",432.9,456.5,482.4,370.5,680,484.46,9
"62769","F",1,"F",1,1,16,3,"B","E","E",545.8,584.6,562.7,503.9,660,571.4,11
"62773","D",1,"M",1,1,19,1,"B","E","F",511.9,585.9,508.1,595,600,560.18,11
"62779","H",1,"F",1,1,21,1,"B","G","E",492.7,489.1,510.3,410.8,760,532.58,10
"62792","N",3,"F",1,1,17,2,"B","F","F",619.1,624.3,599.3,662.9,840,669.12,13
"62802","O",2,"F",1,1,18,2,"B","G","G",534.4,610.6,535.7,511.9,600,558.52,11
"62831","P",1,"F",1,1,16,3,"B","F","F",406.6,447.7,534.2,561.5,620,514,10
"62836","O",3,"M",1,1,17,2,"B","G","G",469.2,468,461.8,452.9,600,490.38,9
"62848","E",1,"F",1,2,25,1,"B","H","D",432.4,549.1,552.2,531.3,580,529,10
"62864","E",1,"F",0,1,34,1,"B","B","C",503.2,573.1,521.4,417.2,420,486.98,9
"62866","I",3,"M",1,1,17,2,"B","G","F",570.7,578.7,554.2,731.6,760,639.04,12
"62867","F",1,"M",1,1,16,3,"B","E","F",599.8,637.4,642.2,796.4,640,663.16,13
"62886","I",3,"F",1,1,18,2,"B","E","E",556.4,558.1,534.8,537.4,720,581.34,11
"62898","G",1,"F",1,1,19,1,"B","F","F",554.5,599.9,569.7,671.7,960,671.16,13
"62902","F",1,"F",1,1,19,1,"B","B","E",518.6,508.6,592.5,453.2,620,538.58,10
"62905","I",2,"F",1,2,19,2,"B","H","G",469.1,517.1,557.2,633.9,520,539.46,10
"62923","Q",3,"F",1,1,18,2,"B","G","G",584,583,587.8,623.5,880,651.66,13
"62934","Q",3,"M",1,1,17,2,"B","G","G",668.2,689.7,628.2,836.6,840,732.54,14
"62937","C",1,"M",1,3,19,1,"B","E","C",426.7,391.7,450.1,455.9,520,448.88,8
"62938","E",3,"M",1,0,20,2,"B","F","E",479.6,525.7,528.8,590.9,560,537,10
"62947","I",2,"M",1,1,20,2,"B","F","G",615.9,584.2,575.9,701.9,840,663.58,13
"62948","B",2,"F",1,4,17,2,"A","E","D",467.8,557.3,540.3,534.6,600,540,10
"62949","E",2,"F",1,1,18,2,"B","E","E",407.2,443.8,541.2,465.4,560,483.52,9
"62960","C",1,"M",1,3,24,1,"B","E","C",525.2,534.9,558,645.2,600,572.66,11
"62968","F",1,"M",1,1,20,1,"B","D","D",466.7,484.5,503.6,480.9,640,515.14,10
"62973","J",1,"F",1,1,18,1,"B","G","F",632.3,567.7,556.5,678.5,680,623,12
"62985","K",1,"F",1,1,16,3,"B","G","G",557.3,522.5,608.3,628.1,600,583.24,11
"63002","I",1,"F",1,1,29,1,"B","E","E",702.6,685.5,611.8,791.1,980,754.2,15
"63005","E",2,"M",1,1,17,2,"B","F","G",546.5,500.3,501.1,576.4,540,532.86,10
"63008","I",2,"M",1,3,18,2,"B","E","E",525.9,518.7,551.6,507.4,680,556.72,11
"63018","B",1,"M",1,1,27,1,"B","E","D",618.8,623.3,620.2,724.1,540,625.28,12
"63053","C",2,"F",1,1,17,2,"B","D","E",639.6,662.5,650.1,728.5,880,712.14,14
"63058","F",3,"M",1,1,17,2,"B","G","F",553,581.4,535.6,610,760,608,12
"63060","O",1,"F",0,1,16,3,"B","D","G",569.2,567.3,582.4,570.2,660,589.82,11
"63065","J",1,"M",0,1,17,3,"B","F","G",441.1,572.9,496.2,439.3,560,501.9,10
"63073","P",3,"M",1,4,17,2,"B","F","E",691.9,696.6,628.1,841.4,800,731.6,14
"63100","G",1,"F",1,1,19,1,"B","E","E",643.9,664.9,635.8,733.8,840,703.68,14
"63104","E",2,"M",1,1,18,2,"B","C","B",464.2,546.1,543.1,662.1,640,571.1,11
"63171","N",1,"M",2,1,59,1,"B","C","B",553.1,581.5,569.2,453.2,540,539.4,10
"63200","Q",1,"F",1,1,17,3,"B","G","G",651.9,586.9,575.8,777.1,940,706.34,14
"63209","G",1,"F",2,2,62,1,"B","E","D",504.1,545.1,546.9,407.6,520,504.74,10
"63228","H",1,"M",1,1,24,1,"B","E","D",598.3,588.9,522.9,652.5,500,572.52,11
"63230","F",1,"M",1,1,21,1,"B","C","C",494.4,560.2,558.7,481,640,546.86,10
"63245","G",1,"F",1,1,16,3,"B","F","G",500.3,499.3,539.1,704.8,540,556.7,11
"63247","C",1,"F",1,1,22,1,"B","C","C",479.4,496.6,538.2,502.3,500,503.3,10
"63262","Q",3,"F",1,1,17,2,"B","G","F",632.4,584.3,620.1,666.9,720,644.74,12
"63276","I",3,"F",1,1,18,2,"B","E","F",519.5,596.9,588.2,519.1,640,572.74,11
"63277","M",2,"F",1,1,18,2,"B","G","F",710.1,799.4,651.6,837,960,791.62,15
"63294","K",2,"M",1,3,17,2,"B","G","E",563.9,540.2,486.6,493,620,540.74,10
"63296","M",3,"F",1,1,17,2,"B","G","G",505.6,646.9,565.1,490.3,540,549.58,10
"63297","O",1,"M",1,1,16,3,"B","F","G",581.2,545.9,593.3,746.5,500,593.38,11
"63301","D",1,"F",1,1,18,1,"B","F","F",540.1,539.7,555.9,445,800,576.14,11
"63303","H",1,"F",1,1,17,3,"B","E","G",476.9,425.1,539.9,526.5,580,509.68,10
"63310","L",3,"M",1,1,17,2,"B","E","F",582.4,636.8,567.1,773.3,700,651.92,13
"63312","D",1,"F",1,1,16,3,"B","E","E",546.1,539.4,540,552.7,540,543.64,10
"63313","C",1,"F",1,3,22,1,"B","C","G",453.5,559.5,524,516.8,480,506.76,10
"63314","H",1,"F",1,1,18,3,"B","E","E",562.7,572.2,535.2,670.7,760,620.16,12
"63316","C",1,"F",1,3,24,1,"B","F","F",602.7,562.1,601.8,629.6,680,615.24,12
"63321","Q",1,"F",1,1,15,3,"B","G","F",598.1,598.6,571.7,626.1,360,550.9,11
"63346","I",1,"M",1,1,28,1,"B","F","F",662.8,660.1,591.3,796.5,740,690.14,13
"63350","H",1,"F",0,1,16,3,"B","F","E",532.5,574.7,558,467.3,660,558.5,11
"63351","F",2,"M",1,3,17,2,"B","E","E",510.1,633.7,553.3,374,580,530.22,10
"63364","Q",3,"F",1,1,17,2,"B","F","F",622.1,628.1,628.7,658.7,680,643.52,12
"63365","N",3,"M",1,1,18,2,"B","F","F",561.9,633,614.1,728.8,660,639.56,12
"63369","F",1,"F",1,1,21,1,"B","B","C",497.9,489.4,521.2,394.2,540,488.54,9
"63378","P",1,"M",1,3,16,3,"B","G","G",611.7,616,568,662.7,680,627.68,12
"63379","I",1,"M",1,1,18,1,"B","E","F",601.4,648.9,628.5,875.5,940,738.86,14
"63406","Q",3,"M",1,2,18,2,"B","F","E",592.5,623.9,632.9,716,560,625.06,12
"63407","F",3,"F",1,1,17,2,"B","E","E",675.6,680.3,630.1,764.2,840,718.04,14
"63421","M",1,"F",1,1,18,1,"B","G","G",558.6,592.1,581.8,738.6,800,654.22,13
"63429","H",1,"F",2,1,36,1,"B","G","G",596.8,623,589.5,583,820,642.46,12
"63437","F",3,"F",1,1,17,2,"B","E","E",454.2,486.3,613.9,569.8,720,568.84,11
"63446","N",1,"M",1,1,15,3,"B","G","E",410,542.8,549.7,542.8,540,517.06,10
"63508","J",2,"F",1,1,16,2,"B","D","D",511.9,539.1,574.5,593.5,640,571.8,11
"63512","K",2,"M",1,1,18,2,"B","D","G",558.6,544.8,525.9,640.3,540,561.92,11
"63513","C",2,"M",1,1,18,2,"B","G","F",519.8,552.8,563.4,511.2,620,553.44,11
"63536","P",1,"F",1,1,17,3,"B","G","F",557.9,644.4,586.2,716.5,600,621,12
"63537","D",2,"M",1,3,18,2,"B","D","E",410.3,565.3,579.6,544,700,559.84,11
"63539","F",1,"F",2,1,49,1,"B","B","B",354.4,383.8,433.2,424.8,0,319.24,6
"63564","F",3,"M",1,1,17,2,"B","D","D",517.8,563,539.5,568.6,340,505.78,10
"63565","M",1,"M",1,1,16,3,"B","G","F",508.7,384.3,560.7,372.1,600,485.16,9
"63570","E",3,"F",1,5,18,2,"B","E","D",521.3,529.6,531.7,502.9,560,529.1,10
"63606","C",1,"M",1,1,19,1,"A","E","E",396.7,397.4,385.3,366.3,440,397.14,7
"63611","C",1,"M",2,3,44,1,"B","H","H",372,475.5,491,373.2,420,426.34,8
"63619","E",1,"F",1,1,21,1,"B","E","E",502.3,563.8,569.6,573.7,580,557.88,11
"63637","O",1,"M",1,1,18,1,"B","F","F",595.8,654,675.6,745.3,880,710.14,14
"63678","L",1,"F",1,1,18,1,"B","E","E",559.4,593.7,549.8,667.3,700,614.04,12
"63681","B",1,"F",1,3,20,1,"B","B","B",489.3,527.3,511.1,385.3,580,498.6,9
"63686","H",1,"F",1,1,16,3,"B","G","G",414.5,561,558.3,545.6,680,551.88,11
"63702","O",1,"F",1,1,16,3,"B","G","D",444.4,468.8,537.1,412.5,700,512.56,10
"63703","I",1,"F",1,1,27,1,"B","E","D",458,490.4,537.4,606.4,760,570.44,11
"63710","P",3,"M",1,1,17,2,"B","G","G",624.1,646.1,605,731,700,661.24,13
"63746","Q",1,"M",1,1,16,3,"B","G","G",518.4,656.2,578.7,786.4,620,631.94,12
"63771","E",1,"F",1,3,56,1,"B","B","B",426.3,528.1,527.8,413.7,520,483.18,9
"63795","G",2,"F",1,3,19,2,"B","C","D",512.3,549.5,526,573.7,360,504.3,10
"63809","O",1,"M",1,1,17,3,"B","G","G",583.2,585.4,565.3,753.2,640,625.42,12
"63818","J",1,"M",1,1,16,3,"B","E","G",606.9,569.2,544.6,685,580,597.14,11
"63823","Q",1,"F",1,1,16,3,"B","E","E",493.9,400.4,439.5,587.7,640,512.3,10
"63835","C",1,"F",1,3,31,1,"B","B","B",518.4,454.2,517.5,509.8,460,491.98,9
"63837","H",1,"F",1,1,16,3,"B","F","C",508.4,520.7,561.3,496.6,680,553.4,11
"63872","F",1,"M",1,1,19,1,"B","D","E",589.7,608.4,627.6,693.6,640,631.86,12
"63884","G",3,"M",1,1,18,2,"B","E","G",607.3,610.7,589.8,691.6,840,667.88,13
"63896","F",1,"F",1,1,17,3,"B","C","E",559.3,551.2,596.7,626.8,660,598.8,11
"63897","L",1,"M",1,1,16,3,"B","E","D",592.8,400.2,531.5,461.2,580,513.14,10
"63906","M",1,"F",1,1,18,1,"B","E","E",708.5,678.1,614.9,853.8,820,735.06,14
"63936","D",3,"F",1,1,17,2,"B","D","E",665.2,634.4,682.7,703.9,640,665.24,13
"63953","Q",1,"F",1,1,15,3,"B","G","G",598.6,661.4,649.9,666.7,820,679.32,13
"63961","M",3,"F",1,4,17,2,"B","F","E",590,599.8,553.1,499.3,620,572.44,11
"63978","B",1,"F",1,1,19,1,"B","H","C",471.3,444.8,545.4,374.7,580,483.24,9
"64032","G",1,"M",1,1,23,1,"B","B","B",445.6,550,535.1,536,600,533.34,10
"64047","C",1,"M",1,1,16,3,"B","F","F",477.7,551.2,544.3,569.9,560,540.62,10
"64093","G",1,"M",1,1,20,1,"B","E","F",588.5,614.7,620.4,685.9,800,661.9,13
"64115","H",3,"F",1,1,16,2,"B","E","D",540.4,558.6,590,652,720,612.2,12
"64130","C",3,"F",1,2,17,2,"B","E","E",448.8,408,508.7,533.2,580,495.74,9
"64132","D",2,"M",0,1,17,2,"B","E","B",397.8,555.1,537,624.8,0,422.94,8
"64146","C",1,"F",1,1,20,1,"B","B","A",370.2,503.3,553.5,408.8,560,479.16,9
"64180","Q",1,"F",1,1,17,3,"B","G","G",563.6,633.4,581,712,720,642,12
"64197","E",2,"M",1,1,19,2,"B","H","F",442.8,477.3,469.2,486,580,491.06,9
"64205","C",1,"F",1,1,22,1,"A","E","E",531.5,480.9,501.5,414.6,660,517.7,10
"64223","C",2,"F",1,3,18,2,"B","C","D",472.8,493.4,643.2,706.8,800,623.24,12
"64234","F",1,"M",1,1,21,1,"B","E","F",578.1,563,569,663.8,740,622.78,12
"64249","B",1,"F",1,0,39,1,"B","B","C",464,495.9,505.3,427.5,520,482.54,9
"64262","I",1,"F",1,1,15,3,"B","F","F",608.1,603.5,595.7,728.4,760,659.14,13
"64269","E",3,"F",1,3,17,2,"B","E","D",606.4,651.6,591.8,757.5,780,677.46,13
"64281","I",1,"F",1,1,16,3,"B","F","G",542.8,611.9,584.4,625.7,580,588.96,11
"64351","Q",3,"F",1,1,17,2,"B","G","G",579.3,547.1,623.4,663.9,740,630.74,12
"64370","P",3,"F",1,1,17,2,"B","G","G",617.8,629.8,583,712.5,800,668.62,13
"64407","C",2,"M",1,1,17,2,"B","D","C",476.4,357.4,533.2,408.6,580,471.12,9
"64414","C",2,"M",1,1,17,2,"B","E","E",503.8,506.1,552.1,572.5,500,526.9,10
"64421","G",1,"F",1,1,18,1,"B","E","E",573,612.1,599,618,900,660.42,13
"64424","C",3,"F",1,1,17,2,"B","E","E",563.8,584.7,561.4,461.1,640,562.2,11
"64441","C",2,"F",1,3,18,2,"B","B","D",394.1,418.8,472.1,401.5,500,437.3,8
"64443","D",1,"M",1,1,17,3,"B","E","E",380,427.1,531.9,398.6,580,463.52,9
"64494","C",1,"F",1,1,22,1,"B","G","E",515.8,551.4,549.9,428.4,0,409.1,8
"64522","Q",3,"M",1,1,18,2,"B","G","G",611,656.6,554.5,699.1,760,656.24,13
"64531","O",1,"M",1,1,15,3,"B","G","F",482.1,451.4,412.7,557.8,0,380.8,7
"64532","G",1,"F",1,1,16,3,"B","H","H",419.9,530.8,549.7,474.5,540,502.98,10
"64542","E",1,"M",3,1,56,1,"B","C","C",611.1,677.8,618.9,730.5,720,671.66,13
"64552","C",1,"F",0,1,30,1,"B","B","A",404.6,415.6,515.3,440.2,580,471.14,9
"64564","I",1,"M",1,3,19,1,"B","D","E",356.8,399.6,467.8,377.1,520,424.26,8
"64574","L",2,"F",1,1,17,2,"B","F","G",491.6,503.4,505.9,635.1,660,559.2,11
"64592","O",3,"F",1,1,17,2,"B","G","F",577.8,628,665.8,669.3,920,692.18,13
"64594","K",2,"M",1,1,17,2,"B","E","G",420.5,559,564.2,644.4,720,581.62,11
"64600","Q",1,"F",1,1,16,3,"B","F","F",478.1,506.3,481.6,495.7,520,496.34,9
"64602","C",2,"M",1,1,18,2,"B","E","D",396.7,503.3,460.7,415.2,300,415.18,8
"64625","K",3,"F",1,1,17,2,"B","G","G",646.9,678.1,597.4,744.4,780,689.36,13
"64628","C",1,"F",1,3,18,1,"A","C","E",482.3,567.2,538,398.1,480,493.12,9
"64640","G",1,"M",1,1,18,1,"B","C","D",548.1,553.7,609.6,748.6,640,620,12
"64648","Q",3,"M",1,0,17,2,"B","F","F",571.6,611,580,696.9,620,615.9,12
"64656","D",1,"M",0,1,25,1,"B","F","C",569.7,557.2,574.3,630.4,300,526.32,10
"64670","D",1,"F",1,1,18,1,"B","E","C",569.5,637.9,611.2,565.6,740,624.84,12
"64684","C",2,"F",1,3,18,2,"B","B","B",459.4,474.1,522.5,595.9,440,498.38,9
"64727","P",3,"F",1,1,18,2,"B","G","F",625.2,632.3,596.8,747.6,960,712.38,14
"64729","A",1,"F",3,2,50,1,"B","B","C",508.7,581.6,585.9,423.1,500,519.86,10
"64745","N",1,"F",1,1,15,3,"B","F","E",532,572.3,551,630.3,660,589.12,11
"64760","G",1,"M",1,1,18,1,"B","E","E",631.5,660,612.4,745.9,700,669.96,13
"64777","D",2,"F",1,2,20,2,"B","C","B",437.5,502.1,463.7,414.7,320,427.6,8
"64787","C",1,"F",1,3,19,1,"B","E","E",430.6,555.8,561.6,459.5,860,573.5,11
"64794","J",1,"F",1,1,16,3,"B","E","D",433.4,403.7,518.8,442.2,520,463.62,9
"64795","C",1,"F",1,2,22,1,"B","C","C",387.7,376.7,441,393.3,400,399.74,7
"64807","O",1,"F",1,1,21,1,"B","G","F",662.3,658.9,626.9,786.6,920,730.94,14
"64809","N",3,"F",1,0,17,2,"B","G","F",633.7,649.4,603.4,725,920,706.3,14
"64821","B",1,"F",1,1,23,1,"B","C","E",498.9,599,624.3,602.3,660,596.9,11
"64833","E",1,"F",1,1,19,3,"B","E","E",472.8,585.6,558.9,399.8,0,403.42,8
"64855","O",1,"F",1,3,17,3,"B","D","D",560.2,592.7,576.8,557.5,780,613.44,12
"64862","E",2,"M",1,3,18,2,"B","E","D",575.3,611.1,588.1,627.2,680,616.34,12
"64864","Q",1,"M",1,1,16,3,"B","G","G",565.4,587.5,622.6,797.2,760,666.54,13
"64866","I",1,"M",0,0,17,3,"B","D","G",541.2,608.8,601.5,809.3,540,620.16,12
"64887","N",3,"F",1,1,17,2,"B","G","E",653.9,624.6,643.4,699.8,900,704.34,14
"64897","E",1,"F",1,1,17,3,"B","C","E",450.9,513.1,524.2,443.7,560,498.38,9
"64917","D",1,"F",1,0,20,1,"B","E","E",559.3,629.2,607.4,481,680,591.38,11
"64918","P",3,"F",1,3,17,2,"B","G","G",577.1,548.2,596.8,581,700,600.62,12
"64929","N",2,"F",1,1,18,2,"B","G","G",577.2,565.6,574.7,613.8,520,570.26,11
"64930","P",3,"F",1,1,17,2,"B","F","F",650,585.8,630.5,719.5,700,657.16,13
"64938","P",3,"F",1,1,17,2,"B","G","E",523.5,606.6,569.4,662.8,600,592.46,11
"64948","Q",1,"M",1,1,21,1,"B","G","G",570.2,625.6,548.3,801.5,740,657.12,13
"64972","Q",3,"F",1,1,17,2,"B","F","G",693.5,669.7,639.3,841.2,840,736.74,14
"64975","B",1,"M",1,1,19,1,"B","B","B",475.8,513.6,562.4,599.9,540,538.34,10
"64976","I",1,"F",1,1,17,1,"B","E","F",716.2,635.1,627,783.7,920,736.4,14
"64978","L",3,"M",1,1,18,2,"B","F","G",578.4,626,612.9,700.7,860,675.6,13
"64992","C",1,"F",1,2,39,1,"B","E","G",545.7,624.4,613.4,653,660,619.3,12
"65001","D",1,"M",1,1,25,1,"B","E","C",468.7,435.4,487.1,454.2,400,449.08,8
"65027","C",2,"M",1,0,17,2,"B","E","E",546.2,622.7,545.1,484,680,575.6,11
"65043","E",2,"F",1,3,17,2,"B","E","D",407.3,427,523,379.3,560,459.32,9
"65059","F",2,"M",1,3,19,2,"B","C","C",450.7,340.1,389.2,386.4,440,401.28,8
"65060","F",1,"M",1,1,19,1,"B","E","F",499.9,482,491,586,480,507.78,10
"65095","Q",1,"M",1,3,16,3,"B","G","F",607.9,684.8,585.1,824.9,880,716.54,14
"65115","P",3,"F",1,1,17,2,"B","F","F",611.4,317.3,610.1,732.3,760,606.22,12
"65116","I",3,"F",1,1,17,2,"B","G","F",651.4,660.2,611.8,552.7,880,671.22,13
"65133","C",1,"F",1,3,30,1,"B","E","B",473.4,536.7,558.5,600.6,920,617.84,12
"65136","D",3,"M",1,1,18,2,"B","E","E",592.6,637.2,572.2,711.5,680,638.7,12
"65139","D",2,"M",1,1,20,2,"B","H","D",510.4,506.7,552.8,541,440,510.18,10
"65150","F",3,"F",1,1,18,2,"B","D","F",537,652.9,581.7,607.6,720,619.84,12
"65164","O",3,"F",1,1,17,2,"B","G","F",619.4,635.4,625.1,753.5,760,678.68,13
"65169","D",3,"F",1,1,17,2,"B","H","E",593.1,621,595,686.3,680,635.08,12
"65175","G",2,"F",1,1,18,2,"B","D","C",543,550,562.5,579.8,640,575.06,11
"65183","O",3,"M",1,1,18,2,"B","F","G",682.9,567.9,512.6,840.1,680,656.7,13
"65211","E",1,"F",1,1,21,1,"B","B","C",543.8,529.4,543.6,448.2,600,533,10
"65214","D",2,"F",1,5,19,2,"B","B","E",402.7,496.8,520,429.8,560,481.86,9
"65223","I",2,"M",1,1,17,2,"B","F","F",590.8,599,593.2,791.8,760,666.96,13
"65224","G",1,"F",1,1,22,1,"B","F","F",605.9,623.3,613.3,664.8,780,657.46,13
"65225","M",2,"M",1,2,19,2,"B","G","G",566.9,589.6,590.6,609.4,620,595.3,11
"65227","M",1,"M",1,1,16,3,"B","E","G",607,649.2,618.7,666.5,580,624.28,12
"65229","D",1,"M",1,1,32,1,"B","B","B",553.2,543.7,560.1,593.1,480,546.02,10
"65231","G",1,"F",1,1,29,1,"B","F","F",632.3,643,575.5,577.6,780,641.68,12
"65246","Q",3,"M",1,1,18,2,"B","G","F",712.6,743.6,637.7,861.3,800,751.04,15
"65266","C",2,"F",1,1,18,2,"B","G","E",544.7,555.6,514.9,511.9,820,589.42,11
"65269","C",2,"M",1,1,17,2,"B","E","E",550,506.9,511.7,467,560,519.12,10
"65281","J",3,"M",1,1,18,2,"B","G","G",579.6,654.6,623.7,794.3,860,702.44,14
"65294","H",1,"M",1,3,48,1,"B","E","E",626,688.2,621.2,681.9,580,639.46,12
"65305","C",1,"F",1,1,21,1,"B","F","D",606.9,602,599.4,601.9,900,662.04,13
"65347","C",2,"F",1,0,17,2,"B","F","E",564.3,575.5,589.5,643.4,680,610.54,12
"65365","D",2,"M",1,3,19,2,"B","D","B",604.5,627.6,624.7,774.1,740,674.18,13
"65367","N",1,"M",1,1,20,1,"B","E","G",741.6,665.7,679.4,821.3,780,737.6,14
"65369","G",3,"M",1,1,18,2,"B","C","G",538.9,539.5,538.8,480.7,620,543.58,10
"65382","H",3,"M",1,1,19,2,"B","G","G",499.2,514.9,495.4,619.7,440,513.84,10
"65386","A",2,"M",1,1,20,2,"B","C","F",565.1,447.4,546,762.5,660,596.2,11
"65389","H",1,"F",1,1,19,1,"B","F","F",720.4,653.1,619.7,815.2,940,749.68,14
"65396","C",2,"M",1,3,19,2,"B","H","C",365.6,386.3,355.4,388.1,0,299.08,5
"65402","P",1,"M",1,1,17,3,"B","G","G",595.6,625.5,592.2,821.2,660,658.9,13
"65408","C",2,"F",1,1,18,2,"B","B","D",379.2,505.5,547.1,375.8,620,485.52,9
"65425","P",1,"M",1,1,24,1,"B","G","G",566.8,679.9,665.5,756.8,980,729.8,14
"65437","D",1,"M",1,3,19,1,"B","C","E",451.6,518.4,503.7,441.7,560,495.08,9
"65442","H",2,"F",1,1,18,2,"B","D","G",544.2,586.3,572.8,571.8,740,603.02,12
"65449","E",1,"F",1,1,17,3,"B","B","D",548.1,581.3,587.7,714.8,780,642.38,12
"65500","B",1,"M",1,1,20,1,"B","H","D",375.6,466.3,502.5,575.7,540,492.02,9
"65501","N",2,"M",1,1,17,2,"B","E","F",622.1,632.2,572.2,502.6,560,577.82,11
"65519","B",1,"F",1,3,22,1,"B","B","B",456.9,505.9,531.3,508.7,600,520.56,10
"65524","P",3,"F",1,1,17,2,"B","G","G",713.5,679.4,642.8,767,820,724.54,14
"65533","F",1,"F",1,1,25,1,"B","F","F",596.8,637.4,580.3,602.6,540,591.42,11
"65567","C",1,"M",1,1,36,1,"A","C","F",506.6,560.5,562.1,572.4,600,560.32,11
"65578","E",2,"F",1,1,17,2,"B","E","E",469.3,550.6,512.1,372.4,600,500.88,10
"65582","M",1,"F",1,1,18,1,"B","F","F",605.2,631.9,653,721,940,710.22,14
"65585","C",1,"F",1,1,18,1,"B","B","B",386.1,478.7,546.7,401.2,600,482.54,9
"65610","Q",1,"F",1,1,18,1,"B","G","G",566.4,639.9,605.5,713.9,640,633.14,12
"65614","F",1,"F",1,1,19,1,"B","G","G",564.9,511.2,548.6,419.4,560,520.82,10
"65615","F",2,"M",1,1,22,2,"B","B","C",406.4,508.7,520.6,452.8,560,489.7,9
"65628","I",1,"F",1,1,17,3,"B","E","C",442.7,506.4,552.5,558,600,531.92,10
"65651","E",1,"F",1,2,21,1,"B","C","E",363.5,466.1,533.2,573.1,540,495.18,9
"65670","K",3,"M",1,1,17,2,"B","F","E",575.4,556.7,583.1,710.4,940,673.12,13
"65691","G",1,"F",1,1,24,1,"B","G","F",614.6,604,623.6,748,740,666.04,13
"65692","G",1,"F",1,1,17,3,"B","G","E",531.5,593.4,580,616.1,600,584.2,11
"65693","E",2,"M",1,1,17,2,"B","D","B",549.2,555.9,512.6,556.3,620,558.8,11
"65705","I",1,"M",1,3,19,1,"B","F","F",670,613,625,821.7,740,693.94,13
"65714","G",1,"F",1,1,29,1,"B","E","B",520.1,499.8,585.1,367.5,520,498.5,9
"65723","D",1,"F",1,1,21,1,"B","E","E",345.4,354.5,485.9,363.3,440,397.82,7
"65752","N",1,"F",1,1,16,3,"B","G","F",559.3,568,567.3,657.1,900,650.34,13
"65774","C",1,"M",1,5,25,1,"A","B","B",407.7,496.1,568.3,509.5,520,500.32,10
"65781","D",1,"M",1,1,19,1,"B","E","E",633.4,670.5,594.4,739.4,740,675.54,13
"65807","E",1,"M",1,1,20,1,"B","F","E",429.3,549.7,536.8,636.2,460,522.4,10
"65811","I",1,"M",1,1,17,3,"B","F","E",533.1,590.7,586.1,749.9,560,603.96,12
"65837","I",1,"M",1,2,22,1,"B","E","G",612.7,611.8,619.9,684.3,560,617.74,12
"65852","D",1,"F",1,3,24,1,"B","F","E",565.9,584.4,594.6,628.5,720,618.68,12
"65872","N",1,"F",1,1,20,1,"B","H","E",353.6,411,501.3,419.9,440,425.16,8
"65911","L",2,"F",1,1,17,2,"B","E","G",557.1,589.2,570.7,630.5,720,613.5,12
